text,font_size,is_bold,is_italic,y_pos,x_pos,line_height,space_after_line,space_before_line,page,is_title_case,is_upper,ends_colon,starts_number,word_count,has_bullet_prefix,label
Application form for grant of LTC advance,11.670000076293945,1,0,106.1,199.86000061035156,13.023719787597656,13.87628021240235,0.0,1,0,0,0,0,7,0,title
Name of the Government Servant,9.744400024414062,0,0,133.0,95.99856567382812,11.751739501953125,0.0,13.87628021240235,1,0,0,0,0,5,0,other
1.,9.744400024414062,1,0,135.9,70.0199966430664,11.751739501953125,3.3482604980468693,0.0,1,0,0,0,1,1,0,other
Designation,9.744400024414062,0,0,151.0,95.99856567382812,11.751739501953125,0.0,3.3482604980468693,1,1,0,0,0,1,0,other
2.,9.744400024414062,1,0,154.1,70.0199966430664,11.751739501953125,3.3482604980468693,0.0,1,0,0,0,1,1,0,other
Date of entering the Central Government,9.744400024414062,0,0,169.2,95.99856567382812,11.751739501953125,0.0,3.3482604980468693,1,0,0,0,0,6,0,other
3.,9.744400024414062,1,0,180.9,70.0199966430664,11.751739501953125,0.0,0.0,1,0,0,0,1,1,0,other
Service,9.744400024414062,0,0,186.7,95.99856567382812,11.751739501953125,6.448260498046892,0.0,1,1,0,0,0,1,0,other
PAY + SI + NPA,9.744400024414062,0,0,204.9,95.99856567382812,11.751739501953125,0.0,6.448260498046892,1,0,1,0,0,5,0,other
4.,9.744400024414062,1,0,207.8,70.0199966430664,11.751739501953125,3.3482604980468693,0.0,1,0,0,0,1,1,0,other
Whether permanent or temporary,9.744400024414062,0,0,222.9,95.99856567382812,11.751739501953125,0.0,3.3482604980468693,1,0,0,0,0,4,0,other
5.,9.744400024414062,1,0,225.9,70.0199966430664,11.751739501953125,3.4482604980468636,0.0,1,0,0,0,1,1,0,other
6. Home Town as recorded in the Service Book,9.744400024414062,1,0,241.1,70.0199966430664,11.751739501953125,0.44826049804689205,3.4482604980468636,1,0,0,0,1,9,0,other
Whether wife / husband is employed and if,9.744400024414062,0,0,253.3,95.99856567382812,11.751754760742188,0.0,0.44826049804689205,1,0,0,0,0,8,0,other
7.,9.744400024414062,1,0,265.0,70.0199966430664,11.751739501953125,0.0,0.0,1,0,0,0,1,1,0,other
so whether entitled to LTC,9.744400024414062,0,0,270.9,95.99856567382812,11.751739501953125,6.348260498046898,0.0,1,0,0,0,0,5,0,other
Whether the concession is to be availed for,9.744400024414062,0,0,289.0,95.99856567382812,11.751739501953125,5.848260498046898,6.348260498046898,1,0,0,0,0,8,0,other
visiting home town and if so block for which,9.744400024414062,0,0,306.6,95.99856567382812,11.751739501953125,0.0,5.848260498046898,1,0,0,0,0,9,0,other
8.,9.744400024414062,1,0,309.6,70.0199966430664,11.751739501953125,2.848260498046841,0.0,1,0,0,0,1,1,0,other
LTC is to be availed.,9.744400024414062,0,0,324.2,95.99856567382812,11.75177001953125,6.348229980468773,2.848260498046841,1,0,0,0,0,5,0,other
(a) If the concession is to visit anywhere in,9.744400024414062,0,0,342.3,95.99856567382812,11.751739501953125,5.848260498046841,6.348229980468773,1,0,0,0,0,9,0,other
"India, the place to be visited.",9.744400024414062,0,0,359.9,95.99856567382812,11.75177001953125,0.0,5.848260498046841,1,0,0,0,0,6,0,other
9.,9.744400024414062,1,0,362.8,70.0199966430664,11.75177001953125,2.9482299804687386,0.0,1,0,0,0,1,1,0,other
(b) Block for which to be availed.,9.744400024414062,0,0,377.5,95.99856567382812,11.751739501953125,6.348260498046898,2.9482299804687386,1,0,0,0,0,7,0,other
Single rail fare/bus fare from the,9.744400024414062,0,0,395.6,95.99856567382812,11.751739501953125,5.848260498046841,6.348260498046898,1,0,0,0,0,6,0,other
headquarters to home town/place of visit by,9.744400024414062,0,0,413.2,95.99856567382812,11.75177001953125,0.0,5.848260498046841,1,0,0,0,0,7,0,other
10.,9.744400024414062,1,0,416.2,70.0199966430664,11.75177001953125,2.8482299804687727,0.0,1,0,0,0,1,1,0,other
shortest route.,9.744400024414062,0,0,430.8,95.99856567382812,11.751739501953125,6.348260498046841,2.8482299804687727,1,0,0,0,0,2,0,other
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,0,0,448.9,95.99856567382812,11.751739501953125,3.4482604980469205,6.348260498046841,1,0,0,0,0,11,0,other
S.No Name Age Relationship,9.744400024414062,1,0,464.1,95.99856567382812,11.75177001953125,0.3482299804687159,3.4482604980469205,1,1,0,0,0,4,0,other
1.,9.744400024414062,1,0,476.2,103.62838745117188,11.751739501953125,0.5482604980468864,0.3482299804687159,1,0,0,0,1,1,0,other
2.,9.744400024414062,1,0,488.5,103.62838745117188,11.751739501953125,0.0,0.5482604980468864,1,0,0,0,1,1,0,other
11.,9.744400024414062,1,0,498.6,70.0199966430664,11.751739501953125,0.0,0.0,1,0,0,0,1,1,0,other
3.,9.744400024414062,1,0,500.7,103.62838745117188,11.75177001953125,0.5482299804687045,0.0,1,0,0,0,1,1,0,other
4.,9.744400024414062,1,0,513.0,103.62838745117188,11.751708984375,4.748291015625,0.5482299804687045,1,0,0,0,1,1,0,other
5.,9.744400024414062,1,0,529.5,103.62838745117188,11.751708984375,0.4482910156250455,4.748291015625,1,0,0,0,1,1,0,other
6.,9.744400024414062,1,0,541.7,103.62838745117188,11.751708984375,7.648291015624977,0.4482910156250455,1,0,0,0,1,1,0,other
Amount of advance required. Rs.,9.744400024414062,0,0,561.1,96.00826263427734,11.751708984375,0.0,7.648291015624977,1,0,0,0,0,5,0,other
12.,9.744400024414062,1,0,567.0,70.02969360351562,11.751708984375,18.048291015624955,0.0,1,0,0,0,1,1,0,other
I declare that the particulars furnished above are true and correct to the best of my knowledge. I,9.744400024414062,0,0,596.8,105.07057189941406,11.751708984375,0.0,18.048291015624955,1,0,0,0,0,18,0,other
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744400024414062,0,0,608.5,70.0296630859375,11.751708984375,11.848291015625023,0.0,1,0,0,0,0,17,0,other
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,0,0,632.1,105.08027648925781,11.751708984375,0.0,11.848291015625023,1,0,0,0,0,22,0,other
"advance, I undertake to refund the entire advance in one lump sum.",9.744400024414062,0,0,643.8,70.0394287109375,11.751708984375,23.448291015625045,0.0,1,0,0,0,0,12,0,other
Date,9.744400024414062,1,0,679.0,70.0394287109375,11.751708984375,0.0,23.448291015625045,1,1,0,0,0,1,0,other
Signature of Government Servant.,9.744400024414062,1,0,690.7,403.0445556640625,11.751708984375,0.0,0.0,1,0,0,0,0,4,0,other
Overview,24.0,1,0,189.6,252.64999389648438,26.759994506835938,28.44000549316408,0.0,1,1,0,0,0,1,0,other
Foundation Level Extensions,24.0,1,0,244.8,139.3459930419922,26.760009765625,110.83999023437497,28.44000549316408,1,1,0,0,0,3,0,title
Version 1.0,12.0,0,0,382.4,275.69000244140625,13.379974365234375,69.92002563476564,110.83999023437497,1,1,0,0,0,2,0,other
International Software Testing Qualifications Board,18.0,0,0,465.7,103.33999633789062,20.07000732421875,166.52999267578122,69.92002563476564,1,1,0,0,0,5,0,other
Copyright Notice,9.960000038146973,0,0,652.3,70.94400024414062,11.10540771484375,0.39459228515625,166.52999267578122,1,1,0,0,0,2,0,other
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,0,0,663.8,70.94400024414062,11.10540771484375,0.0,0.39459228515625,1,0,0,0,0,16,0,other
International,9.960000038146973,0,0,38.6,447.9100036621094,11.105400085449219,0.0,0.0,2,1,0,0,0,1,0,other
Overview,12.0,0,0,41.6,74.42400360107422,13.380001068115234,0.0,0.0,2,1,0,0,0,1,0,other
Software Testing,9.960000038146973,0,0,50.1,437.95001220703125,11.105400085449219,0.0,0.0,2,1,0,0,0,2,0,other
Foundation Level Extension – Agile Tester,9.960000038146973,0,0,58.4,74.42400360107422,11.105400085449219,0.0,0.0,2,1,0,0,0,6,0,other
Qualifications Board,9.960000038146973,0,0,61.7,430.75,11.105400085449219,47.594599914550784,0.0,2,1,0,0,0,2,0,other
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,0,0,120.4,70.94400024414062,11.105400085449219,587.1945999145508,47.594599914550784,2,0,0,0,0,10,0,other
"Version 2014 Page 2 of 12 May 31, 2014",9.960000038146973,0,0,718.7,76.58135986328125,11.39422607421875,6.805773925781182,587.1945999145508,2,0,0,0,0,9,0,other
© International Software Testing Qualifications Board,6.0,0,0,736.9,76.58399963378906,6.69000244140625,0.0,6.805773925781182,2,1,0,0,0,6,0,other
International,9.960000038146973,0,0,38.6,447.9100036621094,11.105400085449219,0.0,0.0,3,1,0,0,0,1,0,other
Overview,12.0,0,0,41.6,74.42400360107422,13.380001068115234,0.0,0.0,3,1,0,0,0,1,0,other
Software Testing,9.960000038146973,0,0,50.1,437.95001220703125,11.105400085449219,0.0,0.0,3,1,0,0,0,2,0,other
Foundation Level Extension – Agile Tester,9.960000038146973,0,0,58.4,74.42400360107422,11.105400085449219,0.0,0.0,3,1,0,0,0,6,0,other
Qualifications Board,9.960000038146973,0,0,61.7,430.75,11.105400085449219,36.094599914550784,0.0,3,1,0,0,0,2,0,other
Revision History,15.960000038146973,1,0,108.9,70.94400024414062,17.79540252685547,12.704597473144531,36.094599914550784,3,1,0,0,0,2,0,other
Version Date Remarks,9.960000038146973,1,0,139.4,74.42400360107422,11.105392456054688,1.2946075439453182,12.704597473144531,3,1,0,0,0,3,0,other
0.1 18 JUNE 2013 Initial version,9.960000038146973,0,0,151.8,74.42400360107422,11.105392456054688,1.0946075439453011,1.2946075439453182,3,0,0,0,1,6,0,other
0.2 23 JULY 2013 WG reviewed and confirmed,9.960000038146973,0,0,164.0,74.42400360107422,11.105392456054688,1.1946075439453239,1.0946075439453011,3,0,0,0,1,8,0,other
0.3 6 NOV 2013 amended population and diagram,9.960000038146973,0,0,176.3,74.42400360107422,11.105392456054688,1.0946075439453011,1.1946075439453239,3,0,0,0,1,8,0,other
0.7 11 DEC 2013 Amended Business Outcomes and Chapters matching,9.960000038146973,0,0,188.5,74.42400360107422,11.105392456054688,1.1946075439453239,1.0946075439453011,3,0,0,0,1,10,0,other
0.8 20 DEC 2013 Working group updates on 0.7,9.960000038146973,0,0,200.8,74.42400360107422,11.105392456054688,1.0946075439453011,1.1946075439453239,3,0,0,0,1,9,0,other
1.0 31 MAY 2014 GA release for Agile Extension,9.960000038146973,0,0,213.0,74.42400360107422,11.105392456054688,494.59460754394536,1.0946075439453011,3,0,0,0,1,9,0,other
"Version 2014 Page 3 of 12 May 31, 2014",9.960000038146973,0,0,718.7,76.58399963378906,11.39422607421875,6.805773925781182,494.59460754394536,3,0,0,0,0,9,0,other
© International Software Testing Qualifications Board,6.0,0,0,736.9,76.58399963378906,6.69000244140625,0.0,6.805773925781182,3,1,0,0,0,6,0,other
International,9.960000038146973,0,0,38.6,447.9100036621094,11.105400085449219,0.0,0.0,4,1,0,0,0,1,0,other
Overview,12.0,0,0,41.6,74.42400360107422,13.380001068115234,0.0,0.0,4,1,0,0,0,1,0,other
Software Testing,9.960000038146973,0,0,50.1,437.95001220703125,11.105400085449219,0.0,0.0,4,1,0,0,0,2,0,other
Foundation Level Extension – Agile Tester,9.960000038146973,0,0,58.4,74.42400360107422,11.105400085449219,0.0,0.0,4,1,0,0,0,6,0,other
Qualifications Board,9.960000038146973,0,0,61.7,430.75,11.105400085449219,36.094599914550784,0.0,4,1,0,0,0,2,0,other
Table of Contents,15.960000038146973,1,0,108.9,70.94400024414062,17.79540252685547,18.004597473144514,36.094599914550784,4,0,0,0,0,3,0,other
Revision History .......................................................................................................................................... 3,9.960000038146973,1,0,144.7,70.94400024414062,11.105392456054688,6.294607543945318,18.004597473144514,4,1,0,0,0,4,0,other
Table of Contents ........................................................................................................................................ 4,9.960000038146973,1,0,162.1,70.9439697265625,11.105392456054688,6.3946075439453125,6.294607543945318,4,0,0,0,0,5,0,other
1. Introduction to the Foundation Level Extensions ............................................................................ 6,9.960000038146973,1,0,179.6,70.9439697265625,11.105392456054688,6.494607543945307,6.3946075439453125,4,0,0,0,1,9,0,other
2. Introduction to Foundation Level Agile Tester Extension ............................................................... 7,9.960000038146973,1,0,197.2,70.9439697265625,11.105392456054688,6.494607543945335,6.494607543945307,4,0,0,0,1,10,0,other
2.1 Intended Audience ..................................................................................................................... 7,9.960000038146973,0,0,214.8,80.90396118164062,11.105392456054688,0.3946075439453125,6.494607543945335,4,1,0,0,1,5,0,other
2.2 Career Paths for Testers ............................................................................................................ 7,9.960000038146973,0,0,226.3,80.90396118164062,11.105392456054688,0.3946075439453125,0.3946075439453125,4,0,0,0,1,7,0,other
2.3 Learning Objectives ................................................................................................................... 7,9.960000038146973,0,0,237.8,80.91390991210938,11.105392456054688,0.3946075439453125,0.3946075439453125,4,1,0,0,1,5,0,other
2.4 Entry Requirements ................................................................................................................... 8,9.960000038146973,0,0,249.3,80.91390991210938,11.10540771484375,0.39459228515625,0.3946075439453125,4,1,0,0,1,5,0,other
2.5 Structure and Course Duration ................................................................................................... 8,9.960000038146973,0,0,260.8,80.91390991210938,11.10540771484375,0.39459228515625,0.39459228515625,4,0,0,0,1,7,0,other
2.6 Keeping It Current ...................................................................................................................... 9,9.960000038146973,0,0,272.3,80.91390991210938,11.10540771484375,6.294592285156227,0.39459228515625,4,1,0,0,1,6,0,other
3. Overview of the Foundation Level Extension – Agile Tester Syllabus ......................................... 10,9.960000038146973,1,0,289.7,70.95391845703125,11.10540771484375,6.594592285156239,6.294592285156227,4,0,0,0,1,13,0,other
3.1 Business Outcomes ................................................................................................................. 10,9.960000038146973,0,0,307.4,80.90402221679688,11.10540771484375,0.2945922851562841,6.594592285156239,4,1,0,0,1,5,0,other
3.2 Content .................................................................................................................................... 10,9.960000038146973,0,0,318.8,80.90402221679688,11.10540771484375,6.294592285156227,0.2945922851562841,4,1,0,0,1,4,0,other
4. References .......................................................................................................................................... 12,9.960000038146973,1,0,336.2,70.94400024414062,11.10540771484375,6.494592285156273,6.294592285156227,4,1,0,0,1,4,0,other
4.1 Trademarks ............................................................................................................................. 12,9.960000038146973,0,0,353.8,80.90402221679688,11.10540771484375,0.39459228515625,6.494592285156273,4,1,0,0,1,4,0,other
4.2 Documents and Web Sites ....................................................................................................... 12,9.960000038146973,0,0,365.3,80.91403198242188,11.10540771484375,342.2945922851563,0.39459228515625,4,0,0,0,1,7,0,other
"Version 2014 Page 4 of 12 May 31, 2014",9.960000038146973,0,0,718.7,76.601318359375,11.39422607421875,6.805773925781182,342.2945922851563,4,0,0,0,0,9,0,other
© International Software Testing Qualifications Board,6.0,0,0,736.9,76.58399963378906,6.69000244140625,0.0,6.805773925781182,4,1,0,0,0,6,0,other
International,9.960000038146973,0,0,38.6,447.9100036621094,11.105400085449219,0.0,0.0,5,1,0,0,0,1,0,other
Overview,12.0,0,0,41.6,74.42400360107422,13.380001068115234,0.0,0.0,5,1,0,0,0,1,0,other
